,Platform,Content (Reviews and Tweets),Formatted Dates
0,Facebook, Team ISEL is very much focused on each candidates success giving individual attention. They are flexible with the sessions and this helps when you are trying to get your certification while on a job. Brilliant team that you can rely on to progress with your career. Very much recommended.,08-05-2020
1,Facebook," I did PMP training. I didn't like the training process in Isel and there purpose is just to finish classes. Support staff is also not good ,they promise so much before you pay after that no one is concerned about you .",14-12-2020
2,Facebook," ""I would recommend ISEL and I am thankful to Saurabh, Shubham & Sir Debasish Mukherjee. This was a great way to earn my Black Belt Certification. I was given a lot of information directly at my fingertip. I've been looking at this course for a while. I'm so happy and I had the opportunity to complete the class and receive my BB Certification. This is a great opportunity to earn your certification, you can move at your own pace, and you also have access to the information for … See More",08-05-2020
3,Facebook, Training was amazing. Trainer cleared all our doubts. Wonderful training institution. Great support received from Customer care. BB  training Q&A shared minimally. It would be good it can be included more for the upcoming batches.,24-05-2020
4,Facebook," Very good trainer, structured approach of teaching. Customer support very helpful and approachable.",06-05-2020
5,Facebook,Good support by faculties & support staff. Overall good experience with ISEL learning,26-04-2020
6,Facebook," Program was effective in terms of the materials recommended for study and relevancy of the concepts. Customer support was very responsive and polite enough to answer the questions raised regarding the course. Trainer was highly experienced, had very strong knowledge of the concepts and very patient in answering the queries raised by the trainees. As an improvement opportunity, a full two hour session can be dedicated to run through the Minitab application usage.",26-04-2020
7,Facebook, The learning is beautiful and the time period provided is also good. I was able to relate the topics to my work. My suggestion is that the assignment questions were little difficult to understand. if they are easy we can score better because the theoretical knowledge is different from the practical. overall it is awesome that I can implement in my work,31-03-2020
8,Facebook," LEAN SIX SIGMA GREEN BELT program Provided by ISEL is Quite excellent and very Interactive between Mentor and the students.  customer support, training & trainer-Trainer Mr. Debasish Mukherjee sir is very Interactive with each students .It was not like a virtual class but it is like as class room programme .Trainer is having excellent skill of explaining with very suitable live examples . Moreover Mr. Shubham Dubey is always very cooperative and responds immediately and very … See More",28-04-2020
9,Facebook, My all over experience is very good. The knowledge given by the trainer is very helpful to me & during training they solve thought related the topic. Thank you.,26-03-2020
10,Facebook," Provides basics and full knowledge to improve project quality and also to optimise process in favour of Production improvement with less efforts and more benefits training was very helpful in detailed understanding of lean six sigma course,  Trainer was well competent to explain the basics and details queries inline with our project requirement.",05-05-2020
11,Facebook," The content of ""Lean Six Sigma"" training was well structured and organized. The supporting staffs of ISEL Global was very good. Thanks to entire team for their extended support. The training was very informative, illustrated with live examples in details and definetly it helps me a lot at workplace. The trainer was really amazing style of deliveries. Really enjoyed and look forward for further learning in future.",30-04-2020
12,Facebook," TRAINING IS GOOD,I HAD LEARNED LOT OF FACTS DURING THE SESSION THANKS TO OUR TRAINER MR.SAURAV AND ISEL FOR GIVING THE WONDERFUL TRAINING CAN IMPROVE FURTHER BY ADDING MORE PRACTICAL EXAMPLES AND SOME EXAMPLES SPECIFIC TO DIIFERENT INDUSTRIES.",28-04-2020
13,Facebook, The Program is quite good. It covers most of the aspects of the practical field. The study material provided is very helpful for future reference also. But I would suggest to include exemptions as per GST Council in details because one should know which supplies do not fall under GST and need not apply for GST registration. Overall experience was good and it helped in gaining knowledge which would be required in the practical field. Thanks ,06-04-2020
14,Facebook,its worth its salt in quality.,09-04-2020
15,Facebook, I would definitely recommend ISEL for the six sigma program . It is very structured and example oriented,29-03-2020
16,Facebook, I would definitely recommend ISEL for the six sigma program . It is very structured and example oriented,26-03-2020
17,Facebook," The program was quite informative and precise, with lot of attention to details about Project Management methodologies and PMP certification and Mr. Prasad as a trainer has carried out the program very well with patience and provided all information required, study material and references which am sure would help in clearing the certification easily",21-04-2020
18,Facebook," Best institute in India to learn and get certify in professional certification courses, specially i liked their GST, Six Sigma certification programs. Highly professional team and best faculty to teach and support you. All the best ISEL GLOBAL.",13-10-2019
19,Facebook," "" It was a good interactive training, where i got exposed to most of the concepts of Six Sigma. improvement required towards theoretical part of the concepts (Uses, Cons, Applications of different statistical tools and Solving the problems manually etc.) as most of the session emphasized on solving the problems through Minitab tool alone. Hope this will be taken into consider as a part of continual improvement. Overall it was good.""",06-04-2020
20,Facebook, ISEL GLOBAL is the best in market.  my experience is awesome. I definitely recommend it..,29-05-2019
21,Facebook," Shubham was my point of contact, he is  exceptional in the coordination and was  always there the to help you when ever needed. I  would really like to thank him for taking my calls even during late weekend. Deepak our mentor was extremely knowledgeable and was more then happy to share it with us apart from the course content. He was always ready to answer any quires beyond what is needed and was explaining with examples. Thank you Deepak for your guidance and advice… See More",09-05-2019
22,Facebook,very good training modules are designed and concept was explained very well,10-05-2019
23,Facebook, “A really useful course which gives you time to reflect and then put learning into practice.  Great to work alongside individuals from different professional backgrounds to add diversity and interest.”,07-04-2019
24,Facebook," Course content was very useful and comprehensive. It talks about the subject in detail. You can take support from the trainer in case of any topic is not clear. I would recommend ISEL for working professionals like me to improve their process in BPO industries and get noticed in the company. Customer Service was excellent and ready for help anytime. Mr. Shashank Pandey provided me all the help required during the Green Belt course and hope to get similar support for my upcom… See More Dear Mr.Dubey, Thanks a lot for your valuable feedback. We are glad to help you with all your learning needs. Really appreciate your input. Regards,",20-11-2018
